0.001275912   0.0023644890   0.0003117138
0.004323317   0.0020530310   0.0041751631
0.007328610   0.0046449350   0.0070148468
0.002238618   0.0016805656   0.0018717736
0.001480329   0.0009772916   0.0012317952
0.001293814   0.0006300592   0.0012098066
0.000718162   0.0002657914   0.0006556694
0.000494138   0.0001776112   0.0004962404
0.000296839   0.0000823366   0.0002948305
0.000154163   0.0000417036   0.0001478651
0.000085777   0.0000207032   0.0000830110
0.000048353   0.0000127586   0.0000466914
0.000029762   0.0000081766   0.0000280849
0.000017156   0.0000061470   0.0000155297
0.000010439   0.0000043054   0.0000093051
0.000006755   0.0000031738   0.0000058051
0.000004403   0.0000024392   0.0000037626
0.000002954   0.0000018548   0.0000024325
0.000002045   0.0000015282   0.0000016634
0.000001453   0.0000012378   0.0000011505
