Latitude Longitude
-37.3756 177.2018
-37.423 177.0516
-37.4495 177.0911
-37.4356 177.1216
-37.4744 177.0514
-40.5237 175.9467
-45.0639 167.2574
-49.4 164.79
-47.0747 165.1208
-40.9104 172.2232
-49.43 164.21
-37.7814 176.8221
-35.2646 178.7069
-49.02 164.35
-49.29 164.45
-46.0176 170.6367
-37.7942 176.8108
-38.8901 178.537
-38.8158 178.3713
-38.9533 175.6729
-36.7096 177.1006
-38.7799 176.2977
-44.9488 167.0792
-39.3035 178.7402
-41.9291 173.8848
-44.9462 166.9753
-44.9531 167.0335
-37.7703 176.8309
-39.2777 174.8582
-38.215 177.5059
-37.8371 176.7676
-37.6217 177.2518
-37.7966 176.7666
-38.8983 175.2471
-39.2184 177.7133
-44.4301 167.3269
-35.5157 178.2594
-35.6574 178.2014
-37.3406 177.766
-35.722 -179.704
-35.355 -179.35
-40.699 173.7862
-39.2876 174.582
-44.6756 167.3658
-43.0422 172.6575
-37.8855 176.7456
-33.24 179.51
-41.6867 174.129
-35.9217 179.0978
-43.1418 171.7283
-43.1336 171.7806
-45.0112 167.4621
-45.1276 166.8422
-36.2183 -179.7418
-38.3591 176.0947
-41.975 177.5236
-49.07 164.22
-43.2253 171.0195
-44.418 167.3156
-36.3256 178.2868
-39.6025 177.1949
-45.2561 167.229
-34.21 -179.79
-38.2553 177.4722
-46.1815 167.3258
-33.4 179.91
-37.5556 177.0886
-37.5828 177.0732
-37.6013 177.1243
-37.5861 177.1523
-37.6196 177.112
-37.6156 177.1056
-37.6034 177.1479
-37.5851 177.0876
-37.582 177.1316
-37.6357 177.1059
-38.2671 177.6596
-37.5001 177.0773
-45.9528 166.2455
-47.9462 165.52
-43.1133 170.9311
-45.7906 166.8045
-38.1961 176.9178
-42.7243 172.831
-37.8067 176.8374
-39.8517 176.9815
-37.6168 177.126
-39.6449 174.36
-39.2569 177.1611
-37.7264 176.8392
-45.0044 167.4729
-38.6139 178.4704
-37.7953 176.8231
-37.4617 177.1237
-38.8519 175.9723
-39.6982 176.7809
-44.2565 167.7589
-39.0997 175.8701
-37.8048 176.803
-37.8075 176.7926
-42.4357 172.7108
-37.8109 176.7877
-44.4996 168.3336
-45.0063 167.5613
-40.2834 174.5282
-38.8093 175.8699
-40.1192 175.0091
-42.339 173.9085
-42.3218 173.9467
-42.3065 173.9132
-38.2856 176.3636
-38.8321 175.9952
-40.1181 174.9224
-37.9954 176.2417
-38.223 177.3797
-46.2409 166.0773
-46.4745 166.0197
-39.6584 176.7714
-45.1029 166.761
-37.3566 177.145
-37.405 177.1286
-37.3055 177.2647
-37.4735 177.1532
-37.4855 177.1396
-37.4842 177.144
-37.4499 177.1224
-37.5028 177.1448
-37.4958 177.1437
-37.5022 177.1504
-37.4787 177.1517
-37.5037 177.1307
-38.6881 177.2326
-37.7677 176.793
-37.7677 176.8
-45.057 167.0322
-46.1471 165.833
-38.1466 176.0299
-45.1725 167.3111
-41.8465 172.6744
-38.2706 176.2333
-40.8924 175.5554
-44.3821 169.8379
-45.1112 167.1462
-38.8618 178.1672
-45.2048 167.0513
-40.4758 173.3212
-41.8925 174.2243
-36.6012 177.1406
-44.364 170.1146
-37.5239 176.499
-41.8931 174.233
-43.8242 169.1962
-38.9434 178.5976
-37.7997 176.7487
-42.4652 172.8402
-42.4897 172.8773
-36.9142 177.7315
-38.614 176.6828
-38.2542 176.0921
-47.256 165.1492
-47.3059 164.9105
-38.7511 175.7438
-45.301 166.7806
-40.5542 174.8671
-49.05 163.99
-35.3192 178.8945
-41.5955 173.2266
-37.0368 177.1741
-37.4632 177.3857
-42.7407 172.3768
-36.9351 177.1656
-36.9276 177.1851
-37.4825 177.3806
-37.3509 176.5669
-37.0237 177.1506
-36.989 177.1873
-37.8197 176.6389
-39.9614 176.6522
-46.0753 165.5671
-38.8875 179.1649
-43.0864 173.415
-35.123 -178.207
-37.8196 177.5781
-43.3105 172.2648
-36.934 176.7711
-38.6262 176.6126
-39.0314 178.3542
-49.226 164.639
-36.7245 177.5899
-38.4562 176.2752
-37.7863 176.7771
-37.3754 179.8723
-45.1335 166.9137
-45.0608 167.4216
-37.8238 176.6763
-38.3441 178.2364
-38.9481 178.504
-44.2547 169.9938
-37.787 176.78
-39.41 177.03
-38.6694 178.4582
-38.6699 178.4465
-41.6446 172.8777
-38.7178 178.5114
-43.451 171.6479
-46.1456 167.7718
-35.7566 178.5172
-37.8165 176.674
-41.0514 175.4407
-43.1487 170.9615
-36.9732 179.4844
-45.8625 167.1752
-41.3888 174.1226
-44.51 169.8636
-46.8778 165.7625
-38.1385 176.1996
-38.9793 175.7617
-38.9809 175.7538
-38.9692 175.757
-42.6039 169.9109
-44.2062 168.5668
-36.8041 178.1354
-45.7512 166.5773
-45.8502 165.6878
-45.4429 166.5471
-46.2777 166.267
-46.0655 165.9142
-46.0442 165.9403
-45.6137 166.4097
-45.5342 166.5746
-45.8087 166.3186
-45.5801 166.6914
-45.8027 166.6246
-45.4504 166.6408
-46.2297 165.9042
-46.5327 165.955
-46.1827 166.0773
-45.6237 166.6411
-45.5214 167.0335
-46.3811 166.1576
-45.6402 166.5346
-46.2487 166.6038
-46.1981 166.1608
-46.1905 165.8821
-46.2877 165.8666
-45.7702 166.5438
-45.7702 166.5438
-46.3703 165.6132
-45.7037 166.5902
-46.2457 166.0143
-45.7017 166.5508
-46.1535 165.9364
-46.1513 165.6725
-45.5771 166.6162
-45.6855 166.5498
-46.1189 165.7457
-46.2311 165.7805
-46.1673 166.1003
-45.492 166.5442
-46.1843 165.9247
-46.5419 165.7901
-46.1396 166.3482
-45.6485 166.453
-45.4376 166.6592
-45.4199 166.6707
-45.4286 166.5345
-45.4051 166.5718
-45.5071 166.667
-46.3878 165.6906
-45.4266 166.6534
-45.4355 166.6463
-45.4207 166.6487
-45.9477 166.4495
-45.6704 166.5544
-46.0491 166.0151
-45.5679 166.6466
-46.0063 165.7078
-45.5531 166.6618
-45.5487 166.5397
-45.5782 166.6227
-45.6014 166.6257
-45.4034 165.5063
-45.5413 166.2849
-45.86 166.5111
-45.8314 166.2215
-45.3994 166.7502
-36.7572 178.7697
-46.266 165.9585
-46.0289 166.4599
-45.4836 166.5679
-45.9151 166.3297
-45.8902 165.8744
-46.0868 166.3082
-46.2464 165.9638
-45.5646 166.7134
-45.7515 166.671
-45.6587 166.4764
-45.4431 166.784
-45.4768 166.7733
-45.4376 166.7485
-45.1806 166.326
-41.8053 174.3468
-45.6104 166.4147
-46.1986 166.2942
-45.5199 166.1846
-37.8093 177.606
-45.4831 166.3871
-45.5005 166.5892
-37.7161 176.8819
-43.2465 170.7905
-35.15 178.95
-35 178.94
-46.0151 166.2041
-45.695 166.4541
-46.0232 165.7854
-35.9205 179.3125
-46.3848 165.7155
-45.6535 166.4017
-46.2679 166.2269
-46.2589 166.4269
-40.4387 176.529
-41.4383 174.7223
-45.6466 166.7375
-37.0093 176.9498
-46.309 166.3222
-45.498 166.6267
-40.967 176.5282
-45.284 166.8736
-46.1423 165.8259
-44.0344 167.6992
-44.4731 168.1785
-46.1474 166.2196
-46.1921 166.1705
-46.104 166.1272
-41.169 174.6142
-46.0102 166.1959
-37.9518 176.614
-39.7201 176.829
-39.6286 175.997
-43.9521 169.0327
-42.2036 172.6428
-40.4199 175.5949
-40.4164 175.6047
-43.2081 172.8768
-46.481 165.2861
-46.1281 166.0215
-40.049 176.4867
-46.3863 165.8542
-40.562 174.8535
-45.769 165.8885
-46.1093 166.4002
-46.0726 166.0571
-44.4228 168.1891
-39.0584 176.034
-37.643 177.3404
-41.035 174.7276
-44.4626 167.0653
-44.2946 166.9303
-49.41 164.14
-44.1196 168.3722
-36.8143 177.224
-45.4539 166.7261
-36.9023 177.0742
-46.3916 165.7369
-38.9686 175.8144
-39.1779 175.1576
-47.7121 165.3482
-39.4954 177.312
-44.7286 167.3922
-38.857 -179.6946
-38.9747 175.7655
-40.9085 174.9425
-46.2405 165.342
-38.4433 175.9205
-46.0275 166.1841
-45.6846 166.9708
-45.5013 166.6423
-42.1217 173.8455
-42.1304 173.8657
-48.42 165.22
-48.61 164.8
-48.66 164.64
-46.2573 164.9475
-45.0852 167.4407
-46.3075 165.8341
-44.9995 165.9874
-38.5503 178.6112
-38.5571 178.5657
-38.5614 178.6069
-38.5534 178.5517
-45.1172 167.4518
-42.176 173.8771
-36.6228 177.0902
-39.0941 176.2374
-36.6563 177.1005
-36.6511 177.0698
-36.6328 177.0744
-45.5659 166.578
-38.0878 177.6822
-36.6364 177.073
-36.7382 177.1052
-37.7998 176.9269
-37.8777 176.9646
-37.8261 176.9572
-37.8757 176.8963
-37.8706 176.9368
-37.853 176.9517
-42.5642 172.9172
-39.6835 177.0343
-36.6586 177.1863
-40.2092 173.5623
-33.57 179.22
-46.1067 165.5176
-38.0471 176.4077
-38.1123 177.7095
-46.186 166.0833
-45.9799 165.9134
-38.9652 177.3533
-45.9928 165.8705
-38.2079 178.3592
-44.18 168.5813
-46.1133 166.0239
-37.3782 177.3024
-46.3757 165.9869
-37.104 177.1958
-36.9967 176.8944
-38.0635 177.0201
-40.1068 174.8938
-43.5382 172.1635
-43.6177 172.2259
-43.6048 172.4042
-43.5859 172.3911
-43.5884 172.3847
-43.6138 172.4025
-43.5549 172.1597
-43.5973 172.3335
-43.6027 172.2585
-43.6235 172.4123
-43.5737 171.9684
-43.6024 172.3747
-43.6021 172.3684
-43.5923 172.3716
-43.5653 171.8559
-43.6228 172.3811
-43.252 171.9773
-43.5464 171.8624
-43.6368 172.3915
-43.6147 172.0555
-43.6263 172.1427
-43.5949 172.1725
-43.6359 172.1354
-43.6363 171.9084
-43.6492 172.2379
-43.628 172.2781
-43.4995 171.9261
-43.6713 172.5129
-43.5709 172.4109
-43.632 172.4676
-43.6151 172.4098
-43.611 172.3745
-43.6505 172.4654
-43.6309 172.382
-43.5346 172.2366
-43.6193 172.4908
-43.5947 171.9106
-43.6182 172.4992
-43.5777 172.2918
-43.6497 172.4597
-43.592 172.3763
-43.4671 172.1671
-43.6179 172.3264
-43.5699 172.3878
-43.5885 171.8914
-43.638 172.4756
-43.5439 171.9214
-43.654 172.2399
-40.4333 176.8182
-43.5545 172.4989
-43.5901 172.4162
-43.5115 172.1597
-43.574 172.69
-43.5573 172.3975
-43.6153 172.7034
-43.5574 171.882
-43.6182 172.3701
-43.6262 172.0736
-43.5216 172.1476
-43.5111 172.1686
-40.421 176.772
-43.6087 172.364
-43.5946 172.5621
-43.5612 172.3814
-43.5974 172.3792
-43.6057 172.3802
-43.6423 172.38
-43.6385 172.4248
-43.4784 172.1258
-43.642 172.3923
-43.5291 171.8826
-43.5907 172.3878
-43.6162 172.3319
-43.6218 172.4558
-43.5419 172.2204
-43.5355 172.5365
-43.6024 172.1333
-43.5967 172.3309
-43.6275 172.3739
-43.627 172.3762
-42.4747 173.7467
-42.4861 173.7592
-43.5926 172.0366
-43.605 172.5067
-43.6288 172.4958
-43.6301 172.5056
-43.6441 172.3789
-43.6131 172.3526
-43.5542 172.4272
-43.6117 172.4482
-43.6396 172.4624
-43.5574 171.9409
-43.4593 172.1606
-43.6151 172.4465
-43.5735 172.3743
-43.0116 172.0883
-43.5602 172.4623
-43.6082 172.3722
-38.2512 175.9683
-43.5933 172.3632
-43.6145 172.4274
-43.5927 172.0481
-43.5226 172.6878
-43.5418 172.6277
-42.4536 172.9868
-43.433 172.1046
-36.6812 177.2894
-43.6278 172.3806
-43.8571 171.6548
-38.0659 176.3977
-43.5627 172.4031
-43.6157 172.1599
-43.6395 172.4142
-39.1507 177.3685
-43.6108 172.3041
-43.7377 172.3297
-43.7137 172.3748
-43.5651 172.4343
-43.5899 172.4131
-43.6198 172.5247
-38.5701 177.8768
-43.639 172.4859
-43.6166 172.4058
-43.5886 172.4427
-43.6409 172.3875
-43.6256 172.5636
-43.5933 172.4087
-43.4601 172.7694
-47.228 165.541
-43.6081 172.1161
-43.4902 172.1815
-38.37 177.8491
-42.9018 171.8373
-43.6248 172.3797
-43.4393 172.1188
-43.5816 172.3846
-43.6033 172.4845
-45.9928 165.9897
-43.6111 172.3891
-43.2118 172.06
-43.6533 172.3356
-46.2538 165.876
-43.6002 172.3953
-46.0894 165.6598
-43.5989 172.4131
-43.2213 172.0965
-38.8903 175.89
-43.6036 172.0944
-36.6459 177.1055
-43.5871 172.0639
-40.8762 175.5334
-39.1194 174.8588
-40.8913 175.5708
-46.2092 166.1756
-43.5964 172.4108
-45.4613 166.7368
-44.6505 167.2437
-36.7971 177.0916
-43.5373 172.6377
-43.5544 172.6615
-43.5316 172.616
-37.5252 176.4894
-45.3032 166.9566
-37.7559 176.728
-43.5491 172.4211
-43.5522 172.4183
-43.5173 171.9109
-43.5549 172.6356
-43.575 172.3206
-43.6436 172.3707
-39.7308 177.2844
-38.9325 177.3328
-35.5069 178.2859
-36.9297 179.9406
-43.6267 172.3739
-38.1159 176.187
-43.6153 172.5497
-43.5909 172.412
-43.5242 172.7111
-43.5799 172.5264
-43.6066 172.5186
-41.3551 174.2083
-43.55 172.663
-47.4354 165.2425
-38.407 176.0003
-43.3234 171.9855
-38.9324 178.0596
-38.9362 178.0424
-38.9338 178.0467
-45.4933 166.2949
-43.1624 172.0328
-43.6323 172.3579
-42.4812 173.7687
-46.3909 169.406
-47.2356 164.9518
-43.5993 172.4045
-45.8258 166.597
-46.0162 165.8044
-38.2281 178.3161
-46.2271 165.7296
-43.4204 172.4098
-43.566 172.6909
-43.5892 172.6605
-43.5941 172.6312
-43.5931 172.6748
-43.5904 172.6336
-43.584 172.8142
-43.5873 172.5603
-43.5652 172.647
-43.5988 172.669
-43.5382 172.7219
-43.6023 172.7515
-43.586 172.7073
-43.6268 172.741
-43.6386 172.765
-43.594 172.7105
-43.6207 172.7248
-43.5995 172.5604
-43.5676 172.6957
-43.6547 172.7473
-43.6047 172.6921
-43.5801 172.7166
-43.6055 172.6766
-43.6036 172.7227
-43.5922 172.6788
-43.5879 172.6402
-43.5648 172.7511
-43.5862 172.6436
-43.5791 172.6606
-43.6067 172.6839
-43.5825 172.5979
-43.5693 172.6987
-37.2757 177.7433
-43.5985 172.8483
-43.6151 172.8466
-43.6099 172.655
-41.073 175.1016
-43.5686 172.7337
-42.3624 173.8971
-41.5677 174.0206
-43.5699 172.7505
-43.5857 172.6284
-43.5675 172.6386
-43.5801 172.6563
-43.5518 172.7394
-43.5805 172.7411
-46.1788 165.8734
-45.1532 167.871
-43.5449 172.8986
-45.028 167.3588
-44.3415 169.9631
-44.3398 169.9238
-43.522 172.6974
-45.9967 166.1501
-38.0837 178.2394
-43.4947 172.7463
-43.5363 172.1741
-43.5846 172.6493
-39.8708 176.9245
